run_name,timestamp,pump1_pwm,pump2_pwm,valve1,valve2,valve3,valve4,flow_p1,flow_p2,flow_valve1,flow_outlet,dropped_pump1_low_flow,dropped_pump2_low_flow
full_cycle_run_001,45.98130800000578,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,46.47624700000137,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,46.94613500000536,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,47.44539100000262,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,47.9409110000059,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,48.431018000006674,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,48.92425100000202,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,49.414368000000714,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,49.91311300000548,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,50.394013000003994,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,50.8844299999997,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,51.380627000004054,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,51.89323400000483,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,52.36497400000692,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,52.86106500000507,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,53.34796400000155,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,53.839848000004885,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,54.32733600000292,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,54.81484500000626,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,55.31089200000465,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,55.79660300000012,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,56.29894200000167,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,56.80120400000364,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,57.27947200000286,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,57.77100400000066,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,58.25127400000393,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,58.75434300000221,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,59.24017500000447,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,59.74135300000012,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,60.22895000000298,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,60.721442000001666,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,61.21406300000101,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,61.70753900000453,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,62.19422700000554,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,62.67577500000596,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,63.17164699999988,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,63.682099000006914,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,64.15941000000387,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,64.64199200000614,150.0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,False,False
full_cycle_run_001,65.1454660000056,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,65.62866000000388,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,66.12907500000298,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,66.60952800000459,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,67.11074500000477,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,67.60336600000412,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,68.08434600000083,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,68.6340549999997,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,69.1295510000065,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,69.62980200000108,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,70.12393300000578,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,70.63493300000579,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,71.12869800000638,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,71.60715100000054,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,72.11973700000345,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,72.59660400000215,150.0,0.0,0,0,0,0,3.0,0.0,0.0,0.0,False,False
full_cycle_run_001,73.09265300000459,150.0,0.0,0,0,0,0,3.0,0.0,0.0,0.0,False,False
full_cycle_run_001,73.5969980000034,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,74.12250700000673,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,74.60610700000078,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
full_cycle_run_001,75.10348000000417,150.0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,False,False
