horizon_seconds,train_runs,test_run,model,train_rows,test_rows,mae_tower,mae_treated,mae_raw,avg_mae,avg_rmse,overall_r2
30,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Mean Predictor,3249,939,59.058114219465196,190.90482104594628,49.75946232001877,99.90746586181008,105.39982532874586,-6.587533153342687
30,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Linear Regression,3249,939,18.175879361606217,15.261616769873319,4.473596860946858,12.637030997475463,18.48442203286462,0.8211997077849988
30,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Ridge Regression,3249,939,18.24572722914334,15.240626720900693,4.476586831231199,12.654313593758411,18.485867338973147,0.8210901093207483
30,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Random Forest,3249,939,43.39431449250632,28.373585497932154,19.254970107920506,30.340956699453,39.6782496433357,0.12082329963701902
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Persistence (no change),3455,733,12.774897680763983,8.312414733969986,5.493860845839018,8.860391086857662,17.048757429286045,0.8613165708741293
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Mean Predictor,3455,733,50.63186338481669,74.68388736098291,148.70112832500337,91.33895969026764,96.39163730332045,-4.034157577980155
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Linear Regression,3455,733,12.273048454508181,7.996506624718876,5.974273180538224,8.747942753255094,12.454794055231273,0.9234599509110498
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Ridge Regression,3455,733,12.27573623140692,7.984402188459088,6.0401759965678155,8.766771472144608,12.462262123219524,0.9234587840391948
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Random Forest,3455,733,33.25741985193175,44.848223117745086,107.85389144704904,61.986511472241965,70.27129448133228,-1.8638597919097513
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Persistence (no change),3339,849,26.732626619552416,13.153121319199057,6.658421672555948,15.514723203769138,24.430032170432636,0.9164772599720645
